from_node to_node capacity prob_failure num_fiberducts
1 2 3500000.0 2.4553460272866723e-05 1
1 3 3500000.0 0.0019479257244722989 1
1 5 0.0 0.005500942840634655 0
1 4 0.0 0.00019407386510765303 0
1 6 0.0 0.00034166119453962323 0
1 7 0.0 0.005130286079566662 0
1 8 0.0 0.0008657163396597179 0
1 11 0.0 0.0003779766418210785 0
1 10 0.0 0.00028137057696066037 0
1 9 0.0 0.0006797972310130108 0
1 12 0.0 9.548663156538643e-05 0
2 1 3500000.0 0.0038308071012129207 1
2 5 3500000.0 0.001054034387801995 1
2 3 0.0 0.002418020780631127 0
2 4 0.0 0.0024158255172191793 0
2 6 0.0 0.0023154618030052517 0
2 7 0.0 0.0004216596253342202 0
2 8 0.0 3.7465373950242673e-05 0
2 11 0.0 0.0017126438562561548 0
2 10 0.0 0.0014758070283411066 0
2 9 0.0 0.0017439176439907372 0
2 12 0.0 0.00022608403468788246 0
3 1 3500000.0 0.0007196573375883738 1
3 4 3500000.0 0.001850862626224581 1
3 6 3500000.0 0.0005352856071958779 1
3 2 0.0 0.0003213558168122218 0
3 5 0.0 1.2018596151931362e-05 0
3 7 0.0 0.0005074002689662468 0
3 8 0.0 0.0006700228480015302 0
3 11 0.0 0.002916310408960667 0
3 10 0.0 0.0005429275063608409 0
3 9 0.0 0.0005801365126678805 0
3 12 0.0 0.0007740966612377093 0
5 2 3500000.0 0.0007550342827297442 1
5 4 3500000.0 0.0002583058103608072 1
5 6 3500000.0 0.0023556565296716744 1
5 1 0.0 0.0013689716716919096 0
5 3 0.0 0.0033121485716431118 0
5 7 0.0 0.007597865922986096 0
5 8 0.0 1.011387760241299e-05 0
5 11 0.0 4.576168404421394e-05 0
5 10 0.0 0.002280871641763736 0
5 9 0.0 0.0010308685655196557 0
5 12 0.0 0.00038105911519178964 0
4 3 3500000.0 9.554071195945982e-05 1
4 5 3500000.0 0.0006469331375127398 1
4 7 3500000.0 2.7397503165722374e-05 1
4 8 3500000.0 0.002449600362118884 1
4 1 0.0 0.0007362370418332612 0
4 2 0.0 9.593031818677312e-05 0
4 6 0.0 0.00025961558915407404 0
4 11 0.0 4.4505340876811805e-05 0
4 10 0.0 0.001288242589426874 0
4 9 0.0 0.00025484921465232925 0
4 12 0.0 0.0016098806562473821 0
6 3 3500000.0 0.00012879831322027427 1
6 5 3500000.0 0.0015304013436054868 1
6 7 3500000.0 0.00036757559984387827 1
6 8 3500000.0 0.001162075988611235 1
6 1 0.0 0.000484605673970811 0
6 2 0.0 0.0012761817869220426 0
6 4 0.0 0.000496696203783806 0
6 11 0.0 0.003522464607983253 0
6 10 0.0 0.0019116936702811428 0
6 9 0.0 0.0003076365783872699 0
6 12 0.0 0.00022154810443994594 0
7 4 3500000.0 0.0019416724709264228 1
7 6 3500000.0 0.0002817639103093726 1
7 8 3500000.0 0.001276872071797344 1
7 11 3500000.0 0.0002629601189531763 1
7 1 0.0 0.002211862303584707 0
7 2 0.0 0.0005624869445900889 0
7 3 0.0 0.00109139432052714 0
7 5 0.0 6.56717642272169e-05 0
7 10 0.0 0.0020290315920786285 0
7 9 0.0 0.0013017352214554777 0
7 12 0.0 0.00011248781526168868 0
8 4 3500000.0 0.00035658402797387155 1
8 6 3500000.0 0.00023506670360186942 1
8 7 3500000.0 0.00019039646009496775 1
8 10 3500000.0 0.0023784845790808676 1
8 1 0.0 5.684399109465334e-05 0
8 2 0.0 1.842979255746263e-05 0
8 3 0.0 5.581570728043249e-05 0
8 5 0.0 0.001349899910515741 0
8 11 0.0 5.646007562258448e-05 0
8 9 0.0 4.3977554685705185e-06 0
8 12 0.0 0.0009819370138231603 0
11 7 3500000.0 0.0015634424010769017 1
11 9 3500000.0 0.0001592685746747671 1
11 10 3500000.0 0.0012315431528936286 1
11 12 3500000.0 9.95772175503558e-05 1
11 1 0.0 0.0026009746158563198 0
11 2 0.0 0.00158865937650112 0
11 3 0.0 0.0013455532681078918 0
11 5 0.0 1.6572831915014094e-05 0
11 4 0.0 0.0009838486324916461 0
11 6 0.0 0.0007528750761870728 0
11 8 0.0 0.0012405661952015232 0
10 8 3500000.0 7.050099669629016e-05 1
10 9 3500000.0 0.0013113232128203337 1
10 11 3500000.0 2.2428049614909016e-05 1
10 12 3500000.0 0.00185575234773117 1
10 1 0.0 6.987590018294944e-05 0
10 2 0.0 0.001068361237556791 0
10 3 0.0 0.0005910726015431731 0
10 5 0.0 0.0018955341285276568 0
10 4 0.0 0.0001687565169374914 0
10 6 0.0 0.0022961981765403385 0
10 7 0.0 0.0015058383921402415 0
9 10 3500000.0 0.00042360924825512753 1
9 11 3500000.0 0.000313173825673915 1
9 1 0.0 0.0011253478142293002 0
9 2 0.0 0.00015007852131636862 0
9 3 0.0 0.0003362704445436179 0
9 5 0.0 5.012972891691396e-06 0
9 4 0.0 0.0034229863025189607 0
9 6 0.0 0.005223413119614207 0
9 7 0.0 0.00010922644709853857 0
9 8 0.0 0.0016031691068397972 0
9 12 0.0 0.0038052148715380387 0
12 10 3500000.0 9.29443079586091e-05 1
12 11 3500000.0 0.0026667056861457983 1
12 1 0.0 0.0008072995859442665 0
12 2 0.0 0.00013445985122017285 0
12 3 0.0 0.00027724210482827765 0
12 5 0.0 0.0009700934010951807 0
12 4 0.0 0.00018848994531737979 0
12 6 0.0 0.0004634905428009279 0
12 7 0.0 0.0019578355903237506 0
12 8 0.0 0.005635002940269539 0
12 9 0.0 2.4506685165532016e-05 0
