from_node to_node capacity prob_failure num_fiberducts
1 2 3500000.0 0.003563565571874584 1
1 3 3500000.0 0.006122424232654597 1
1 5 0.0 0.00031514900577536573 0
1 4 0.0 1.7492303817897633e-05 0
1 6 0.0 0.0001379983703557072 0
1 7 0.0 0.0005163584528701104 0
1 8 0.0 0.0005737899029527672 0
1 11 0.0 0.0002612927531905792 0
1 10 0.0 0.0005362953294873984 0
1 9 0.0 0.0013461226486327432 0
1 12 0.0 0.0011568525812171665 0
2 1 3500000.0 0.0008824027928444324 1
2 5 3500000.0 0.0006737918553659281 1
2 3 0.0 0.0006452084038163798 0
2 4 0.0 0.0034282356973606137 0
2 6 0.0 0.0006023210230596579 0
2 7 0.0 2.425268381911883e-05 0
2 8 0.0 0.00021434425296510147 0
2 11 0.0 0.005199158147882413 0
2 10 0.0 3.237283904732696e-05 0
2 9 0.0 0.00038510534065375315 0
2 12 0.0 9.044131825887906e-05 0
3 1 3500000.0 0.00017634412434920608 1
3 4 3500000.0 0.0007288392542549467 1
3 6 3500000.0 0.000708352694847283 1
3 2 0.0 0.00015945393767904768 0
3 5 0.0 0.0005242035567580614 0
3 7 0.0 0.00302122453816381 0
3 8 0.0 8.60244089075661e-06 0
3 11 0.0 0.0038870530005926606 0
3 10 0.0 0.0003529543959769555 0
3 9 0.0 5.361520223603919e-05 0
3 12 0.0 0.0009335682826638135 0
5 2 3500000.0 0.004733811564835395 1
5 4 3500000.0 0.0035981178230182374 1
5 6 3500000.0 8.348706487982796e-05 1
5 1 0.0 0.000156778208907691 0
5 3 0.0 0.004590797894654729 0
5 7 0.0 0.004340366205492519 0
5 8 0.0 0.0007414059787605594 0
5 11 0.0 0.00048606847209427544 0
5 10 0.0 0.0003028547124753174 0
5 9 0.0 0.001070111116037298 0
5 12 0.0 0.0003505577731772007 0
4 3 3500000.0 0.0011397792025663754 1
4 5 3500000.0 0.00031251087308521236 1
4 7 3500000.0 0.0004656043740123235 1
4 8 3500000.0 8.700482170287693e-06 1
4 1 0.0 0.0006036632745166635 0
4 2 0.0 0.004152256735847524 0
4 6 0.0 0.0008961648311841434 0
4 11 0.0 0.00044275747299852105 0
4 10 0.0 0.0029612655454914834 0
4 9 0.0 0.00011161189583236067 0
4 12 0.0 0.0011207280290021885 0
6 3 3500000.0 0.000804571034729722 1
6 5 3500000.0 0.00038367510120562183 1
6 7 3500000.0 0.0004243359333139855 1
6 8 3500000.0 0.0002728907423889358 1
6 1 0.0 0.0028839284134742986 0
6 2 0.0 0.0006961945745409274 0
6 4 0.0 0.0003491874871615349 0
6 11 0.0 5.170446201288007e-05 0
6 10 0.0 0.00026077606321447483 0
6 9 0.0 0.010364125224657727 0
6 12 0.0 0.0010726673889365414 0
7 4 3500000.0 0.0030410026674564422 1
7 6 3500000.0 0.003205745793866443 1
7 8 3500000.0 0.0009038130088030999 1
7 11 3500000.0 0.0014416448998392896 1
7 1 0.0 0.0015956492427042716 0
7 2 0.0 3.631764605847907e-05 0
7 3 0.0 0.0001419802597286211 0
7 5 0.0 0.0010560408157826201 0
7 10 0.0 0.0001356822478705971 0
7 9 0.0 0.00022317353914644246 0
7 12 0.0 0.00022285768963624186 0
8 4 3500000.0 0.0007289605073361727 1
8 6 3500000.0 0.0019623246443973563 1
8 7 3500000.0 0.00035381175262162837 1
8 10 3500000.0 0.0012390118416269935 1
8 1 0.0 7.6470436618422e-06 0
8 2 0.0 0.0009316873196892425 0
8 3 0.0 0.0005399034622532991 0
8 5 0.0 0.0007075438697102691 0
8 11 0.0 0.00013791356434840365 0
8 9 0.0 0.00022461501989394975 0
8 12 0.0 0.0006561629388930261 0
11 7 3500000.0 0.0008340602947879438 1
11 9 3500000.0 0.0022927624632587272 1
11 10 3500000.0 1.1743924617366418e-05 1
11 12 3500000.0 0.0012841131299982762 1
11 1 0.0 0.0006008553098020333 0
11 2 0.0 0.0006245993432620182 0
11 3 0.0 4.2630506363477485e-06 0
11 5 0.0 0.0007134150917218401 0
11 4 0.0 0.0010340862330020398 0
11 6 0.0 0.0002344909312881623 0
11 8 0.0 0.0014418565349023943 0
10 8 3500000.0 0.0001071804566494172 1
10 9 3500000.0 0.0009465402961339292 1
10 11 3500000.0 0.0002045363285527312 1
10 12 3500000.0 0.0002635003775769829 1
10 1 0.0 0.0001951786410950303 0
10 2 0.0 0.00016205463018229612 0
10 3 0.0 0.0011198356727654543 0
10 5 0.0 0.00037150031737535384 0
10 4 0.0 0.0008029381002965809 0
10 6 0.0 0.0006040241515552066 0
10 7 0.0 0.00011235375271791755 0
9 10 3500000.0 0.0008223364479289121 1
9 11 3500000.0 9.005519249342375e-05 1
9 1 0.0 0.0003075832943347424 0
9 2 0.0 0.0015289663313585566 0
9 3 0.0 0.004511658003726504 0
9 5 0.0 0.0007642224221600225 0
9 4 0.0 0.00011806244217497335 0
9 6 0.0 0.001117764051311929 0
9 7 0.0 0.0010080409118133253 0
9 8 0.0 0.0006947059269971296 0
9 12 0.0 0.0007922921088508446 0
12 10 3500000.0 0.004434098779549008 1
12 11 3500000.0 0.000660367406536203 1
12 1 0.0 0.0014961459771652326 0
12 2 0.0 0.0013256545420650791 0
12 3 0.0 0.0005355995573546125 0
12 5 0.0 0.0006948693395560393 0
12 4 0.0 0.00022785032425687277 0
12 6 0.0 0.00017375407546940154 0
12 7 0.0 0.0021895294427250922 0
12 8 0.0 0.0002683660528916037 0
12 9 0.0 0.0014574798390907734 0
