from_node to_node capacity prob_failure num_fiberducts
1 2 3500000.0 0.00013074652758481088 1
1 3 3500000.0 0.0007521393011072361 1
1 5 0.0 0.004603820534943825 0
1 4 0.0 0.0008779801926993482 0
1 6 0.0 0.0003127623768228706 0
1 7 0.0 0.0005139592544868755 0
1 8 0.0 0.0013837213317518737 0
1 11 0.0 0.003032291166713047 0
1 10 0.0 0.0027083068302757155 0
1 9 0.0 0.000265647852924719 0
1 12 0.0 0.003088892017509565 0
2 1 3500000.0 0.002221803107868027 1
2 5 3500000.0 0.0010484710174706198 1
2 3 0.0 0.0028935263449607553 0
2 4 0.0 0.0008625676774668577 0
2 6 0.0 2.0726313087002058e-05 0
2 7 0.0 0.0011647435742424353 0
2 8 0.0 0.00028358419792081724 0
2 11 0.0 4.790407511378181e-05 0
2 10 0.0 0.0019986161565126513 0
2 9 0.0 6.544624986347027e-05 0
2 12 0.0 9.236301201598267e-05 0
3 1 3500000.0 0.000268163693403518 1
3 4 3500000.0 5.2053801699213435e-05 1
3 6 3500000.0 0.0010929359611507013 1
3 2 0.0 0.0004952944554243423 0
3 5 0.0 0.0006587096434863486 0
3 7 0.0 0.0008026843612914534 0
3 8 0.0 0.0023201840412095764 0
3 11 0.0 0.0007118070148388527 0
3 10 0.0 0.0016512837066935799 0
3 9 0.0 0.0005397779599397286 0
3 12 0.0 0.0012576623412009582 0
5 2 3500000.0 0.002473849089294714 1
5 4 3500000.0 0.0018551693777154822 1
5 6 3500000.0 4.376358264712663e-05 1
5 1 0.0 9.012643748264105e-06 0
5 3 0.0 0.0030994407394239316 0
5 7 0.0 0.003434984489115994 0
5 8 0.0 0.0005208931624322369 0
5 11 0.0 0.001279287578327302 0
5 10 0.0 0.0006005610344100837 0
5 9 0.0 0.00499697455086714 0
5 12 0.0 0.0015816783444153257 0
4 3 3500000.0 0.0010812462907250544 1
4 5 3500000.0 0.0009693104116824356 1
4 7 3500000.0 0.0008789574276805283 1
4 8 3500000.0 0.0007348637909483085 1
4 1 0.0 0.002792915379293626 0
4 2 0.0 6.612690776041707e-05 0
4 6 0.0 0.0029290200679376556 0
4 11 0.0 0.0025459977724435834 0
4 10 0.0 0.0038229883959438357 0
4 9 0.0 0.004276613863799508 0
4 12 0.0 0.0006582240683127477 0
6 3 3500000.0 0.0018323010073289976 1
6 5 3500000.0 0.00016881011581766547 1
6 7 3500000.0 0.0010303011409749582 1
6 8 3500000.0 0.0015863137294177551 1
6 1 0.0 0.004353677720187305 0
6 2 0.0 0.00018877740017678534 0
6 4 0.0 0.00019918588869818524 0
6 11 0.0 0.0017019402396567065 0
6 10 0.0 0.0011148936039989009 0
6 9 0.0 0.002594801264638597 0
6 12 0.0 1.3394607204869138e-05 0
7 4 3500000.0 0.005545665148267769 1
7 6 3500000.0 0.0006040064128972554 1
7 8 3500000.0 0.00020311079147261086 1
7 11 3500000.0 0.0006199692945791567 1
7 1 0.0 0.0028475156310340845 0
7 2 0.0 0.0014860423386704594 0
7 3 0.0 0.00035204434994014856 0
7 5 0.0 9.657907256885155e-05 0
7 10 0.0 0.0023632962468428456 0
7 9 0.0 0.0012932836046016484 0
7 12 0.0 0.003112743221711431 0
8 4 3500000.0 0.0011409061972834532 1
8 6 3500000.0 8.659889484573964e-05 1
8 7 3500000.0 0.0009011358342573101 1
8 10 3500000.0 0.0006154055549059874 1
8 1 0.0 0.0022588313827660686 0
8 2 0.0 0.0015342570552732981 0
8 3 0.0 0.0006870131304545423 0
8 5 0.0 3.3822908858256834e-09 0
8 11 0.0 0.00451685985892858 0
8 9 0.0 0.00024621595603545603 0
8 12 0.0 0.00045464794344186936 0
11 7 3500000.0 0.0009662725063490973 1
11 9 3500000.0 0.0010557684109151922 1
11 10 3500000.0 0.0002916148939434183 1
11 12 3500000.0 0.0020612483424740768 1
11 1 0.0 0.0008646576003434325 0
11 2 0.0 0.0006935016899381942 0
11 3 0.0 0.0003347739081371136 0
11 5 0.0 0.00011451721324306763 0
11 4 0.0 0.0005747926848870551 0
11 6 0.0 0.0008946707282355419 0
11 8 0.0 0.003836729283997323 0
10 8 3500000.0 0.0017008689464802554 1
10 9 3500000.0 1.294907588954692e-05 1
10 11 3500000.0 0.00025238838495830946 1
10 12 3500000.0 0.0018246248148420803 1
10 1 0.0 0.0013616581087665305 0
10 2 0.0 0.0003735759929652639 0
10 3 0.0 0.0002053243688198337 0
10 5 0.0 0.0002489786616753664 0
10 4 0.0 0.0008892622100016743 0
10 6 0.0 0.0009943461530742654 0
10 7 0.0 0.000625334090759855 0
9 10 3500000.0 0.0025749739806469026 1
9 11 3500000.0 0.0004966868460281539 1
9 1 0.0 0.0001382439835577765 0
9 2 0.0 0.0002322717369228724 0
9 3 0.0 0.000670984373327922 0
9 5 0.0 0.0014606467449348002 0
9 4 0.0 0.000713574934183634 0
9 6 0.0 0.0009591779057800629 0
9 7 0.0 0.012950871851023454 0
9 8 0.0 1.3556770033151675e-05 0
9 12 0.0 8.71963311232707e-06 0
12 10 3500000.0 0.001979525057953986 1
12 11 3500000.0 3.621178116040136e-05 1
12 1 0.0 0.0028496487579953034 0
12 2 0.0 0.0007511916197080591 0
12 3 0.0 6.314169808600958e-05 0
12 5 0.0 0.001742556719943704 0
12 4 0.0 0.0008992809461342519 0
12 6 0.0 0.004208233752779196 0
12 7 0.0 0.0010322337174097267 0
12 8 0.0 0.0005760716568105387 0
12 9 0.0 0.0006132611589378426 0
